Source Subregion,Presynaptic Neuron Type,Target Subregion,Postsynaptic Neuron Type,g,tau_d,tau_r,tau_f,u,Connection Probability,Synaptic Delay,CARLsim_default
CA1,CA1 Axo-Axonic,CA1,CA1 Pyramidal,3.0590272009803923,6.2888687450980365,700.900888627451,8.885170900980395,0.30335670254901964,0.0064326945260721,1,Y
CA1,CA1 Axo-Axonic,CA1,CA1 Radiatum Giant,3.1419904705882353,5.702275219607844,578.3116362745097,11.827942583333328,0.2711119382352941,0.0064326945260721,1,Y
CA1,CA1 Back-Projection,CA3,CA3 Interneuron Specific Quad,1.6283119044117649,6.8287501627451,591.0384025490196,23.46385036274509,0.20979489872549018,0.0044047045817104,1,Y
CA1,CA1 Back-Projection,CA1,CA1 Basket,1.548143770882353,5.892406406862743,658.9133336274509,20.1877584117647,0.22808343656862748,0.012018565868010977,1,N
CA1,CA1 Back-Projection,CA3c,CA3c Pyramidal,1.9207690431372546,8.000518304901961,488.806822352941,37.367590161764674,0.202012845882353,0.019348513882542107,1,N
CA1,CA1 Back-Projection,CA1,CA1 Neurogliaform Projecting,1.7045190925490192,7.044568055882357,602.7256248039216,25.169704823529404,0.2122968355882354,0.0021557280256246925,1,N
CA1,CA1 Back-Projection,CA3,CA3 Lucidum LAX,1.557802132745098,6.558186519607846,605.4406995098035,29.066588367647064,0.18662225098039215,0.0044047045817104,1,Y
CA1,CA1 Back-Projection,CA1,CA1 Oriens-Alveus,1.8510182921568616,6.424179364705882,591.0354613725489,22.28103988725491,0.21584908245098042,0.01152382771921745,1,N
CA1,CA1 Back-Projection,CA1,CA1 Interneuron Specific LMR-R,1.851428039509804,6.196839110784311,579.5155494117648,24.30567109803921,0.20351267970588235,0.003707330130799491,1,N
CA1,CA1 Back-Projection,DG,DG MOLAX,1.600267570588235,6.7399896970588244,601.2043624509805,22.457108637254905,0.19356215843137253,0.0068521459290011855,1,N
CA1,CA1 Back-Projection,CA3,CA3 Granule,2.1951098098039217,6.915572919607846,592.4136660784312,104.03884311764705,0.21354871813725487,0.007035897354640386,1,N
CA1,CA1 Back-Projection,CA1,CA1 Neurogliaform,1.7412038411764714,7.168743997058823,586.8735807843138,23.941553612745096,0.21046531696078427,0.0029928937224343866,1,N
CA1,CA1 Back-Projection,CA3,CA3 Spiny Lucidum,1.2367602263725492,6.489265898039217,351.1611445098039,60.21971974509804,0.13857704868627452,0.0035497905436470134,1,N
CA1,CA1 Back-Projection,CA1,CA1 Bistratified,1.6623664188235292,7.522471979411769,574.902784117647,20.91588616666667,0.23338502196078428,0.009164108355354195,1,N
CA1,CA1 Back-Projection,CA3,CA3 Giant,1.6297868039215693,7.009300455882357,585.7783821568626,22.121008799019602,0.2063645028431372,0.0064326945260721,1,Y
CA1,CA1 Back-Projection,CA2,CA2 Wide-Arbor Basket,1.4962060099019616,6.233586694117645,866.6581311764708,25.858016696078423,0.09737760796078437,0.0021980863970715303,1,N
CA1,CA1 Back-Projection,CA3,CA3 Trilaminar,1.6024739647058817,7.003521917647059,592.1379864705881,23.194723598039218,0.19750024313725492,0.011702691847647273,1,N
CA1,CA1 Back-Projection,CA1,CA1 Basket CCK+,1.7802016048039215,5.7458169558823515,528.3070149019608,43.34645065686276,0.2295185832352942,0.012944159889647255,1,N
CA1,CA1 Back-Projection,CA1,CA1 Interneuron Specific R-O,1.65941917872549,6.731307542156863,585.1044784313724,23.435427372549004,0.20688480568627457,0.004912844075341427,1,N
CA1,CA1 Back-Projection,CA1,CA1 R-Receiving Apical-Targeting,1.7728478686274511,6.551596047058826,595.2730692156865,23.507806946078432,0.1990947164705882,0.002684361817546055,1,N
CA1,CA1 Back-Projection,DG,DG Outer Molecular Layer,1.5667831812745108,6.834865600980392,606.8199216666665,20.674199137254902,0.20302454764705885,0.00501043744637053,1,N
CA1,CA1 Back-Projection,CA3,CA3 SO-SO,1.9332168843137265,6.60854836960784,564.8063873529411,24.59486652941176,0.22280429372549013,0.0066405172337137275,1,N
CA1,CA1 Back-Projection,CA1,CA1 Radial Trilaminar,1.2007678178431371,8.866925485294122,629.9047437254903,26.562918901960792,0.16931582370588233,0.011499682091056562,1,N
CA1,CA1 Back-Projection,CA1,CA1 Ivy,1.7757944820588232,7.779084401960781,614.7477525490198,16.133137431372553,0.23507233029411764,0.008556452590557595,1,N
CA1,CA1 Back-Projection,CA3,CA3 Axo-Axonic,1.6640795281372556,6.013466458823532,626.5276861764708,22.913645460784316,0.19988493803921578,0.025203023286775483,1,N
CA1,CA1 Back-Projection,DG,DG Hilar Ectopic Granule,1.5676697986274504,7.096622584313725,618.1321984313728,27.950052901960778,0.2044985950980391,0.008281505189780769,1,N
CA1,CA1 Back-Projection,CA3,CA3 Radiatum,1.6282265078431373,6.799570015686274,594.0989935294119,22.339935161764707,0.21055199901960778,0.0063316684641587795,1,N
CA1,CA1 Back-Projection,CA1,CA1 OR-LM,1.711135021568628,6.988076349019607,566.9563301960785,22.3745876127451,0.21129708745098036,0.006661240217803677,1,N
CA1,CA1 Back-Projection,CA1,CA1 Interneuron Specific RO-O,1.691982185294118,6.789832903921567,575.6776459803921,24.2308084509804,0.20810073049019603,0.004088776058924215,1,N
CA1,CA1 Back-Projection,CA3,CA3 Horizontal Axo-Axonic,1.7939456205882351,6.682967597058822,587.0627189215686,21.76850183333333,0.21377759313725495,0.0070991319890904014,1,N
CA1,CA1 Back-Projection,CA1,CA1 Horizontal Basket,1.3553731569607845,6.949636335294117,717.8181753921575,36.47279116666666,0.1888994660784313,0.006585670441953129,1,N
